bn:00000254n;Caesarean section;pregnancy_1124.78;birth_779.14;woman_660.33;caesarean section_617.36;risk_509.35;fetus_496.44;baby_427.78;delivery_415.34;fetal_413.66
bn:00000255n;Abdominal external oblique muscle;muscle_473.28;anterior_202.76;pelvis_158.16;posterior_130.15;lateral_110.58;aponeurosis_108.24;latissimus dorsi_98.33;abdomen_97.86;hip_97.27
bn:00000256n;Celiac plexus;plexus_198.93;ramus_142.16;celiac_89.39;n._74.58;ganglion_69.66;pancreatic cancer_66.25;pain_66.12;nerve_61.28;celiac plexus_48.22
bn:00000257n;Abdominal pregnancy;ectopic pregnancy_384.83;pregnancy_195.64;abdominal pregnancy_128.63;intrauterine_85.87;hcg_74.24;tubal_68.22;pul_65.48;ovarian pregnancy_60.65;fetus_50.56
bn:00000258n;Abdominal wall;abdominal wall_284.88;muscle_171.15;hernia_166.1;pelvis_130.44;anterior_124.71;abdomen_102.57;peritoneum_88.36;abdominal_84.22;pelvic_80.82
bn:00000259n;Paracentesis;ascites_238.75;cirrhosis_212.32;mesothelioma_188.35;patient_158.72;pain_138.9;fluid_108.56;liver_101.48;paracentesis_97.87;encephalopathy_97.65
bn:00000260n;Abdominoplasty;breast_414.71;liposuction_258.22;surgery_234.12;fat_219.81;abdominoplasty_205.59;breast implant_189.36;procedure_175.71;skin_145.62;tissue_144.83
bn:00000262n;Abducens nerve;nerve_620.58;cranial nerve_339.84;eye_288.17;palsy_279.95;muscle_249.6;brain_193.38;facial nerve_183.7;abducens nerve_174.34;nucleus_173.58
bn:00000263n;Lateral rectus muscle;nerve_379.49;eye_275.67;muscle_206.56;cranial nerve_154.31;palsy_149.82;oculomotor nerve_114.46;eye muscle_108.47;neuropathy_103.98;orbita_96.72
bn:00000265n;Anatomical terms of motion;muscle_571.22;hip_343.06;tendon_261.81;bone_222.94;knee_214.18;joint_200.25;flexion_184.71;shoulder_174.82;medial_174.23
bn:00000267n;Anatomical terms of motion;muscle_689.54;hip_340.5;tendon_263.25;bone_220.97;knee_212.43;joint_194.73;flexion_187.12;medial_186.43;shoulder_179.36
bn:00000270n;Abecedarius;acrostic_81.76;abecedarius_23.04;letter_22.82;thou_19.26;verse_14.81;thy_13.11;th_11.39;thee_10.38;god_10.09
bn:00000271n;Niels Henrik Abel;abel_382.84;mathematics_254.96;polynomial_246.25;mathematician_245.15;equation_228.86;norway_193.75;niels henrik abel_166.74;complex number_163.09;theorem_153.38
bn:00000272n;Cain and Abel;cain_1259.6;adam_874.58;abel_850.06;god_776.43;eve_564.72;genesis_232.94;curse_215.66;enoch_164.16;serpent_140.74
bn:00000273n;Abel Tasman;new zealand_353.91;tasmania_327.29;tasman_311.5;island_288.33;hobart_269.12;dutch_219.31;australia_218.39;abel tasman_200.89;māori_192.08
bn:00000274n;Peter Abelard;abelard_519.2;philosophy_324.28;paris_310.81;philosopher_212.4;héloïse_175.14;snazz_174.74;bernard_166.41;abélard_152.74;logic_140.59
bn:00000275n;Populus alba;poplar_204.27;trees_167.54;pluto_166.22;white poplar_138.35;tree_135.72;aspen_98.26;populus alba_98.1;populus_94.2;broadleaf_74.69
bn:00000276n;Abelia;abelia_140.7;genus_68.97;orchid_68.62;shrub_61.44;linnaea_42.63;hybrid_40.78;specie_38.55;linnaea borealis_32.59;plant_27.16
bn:00000277n;Abelian group;group_2982.39;subgroup_1412.04;abelian group_1267.96;finite_884.83;element_726.18;direct sum_483.68;abelian_482.22;cyclic_463.02;isomorphic_399.77
